1. ROOT AND TUBER VEGETABLES	"Arracacha; arrowroot; artichoke, Chinese; artichoke, Jerusalem; beet, garden; beet, sugar; burdock, edible; canna, edible; carrot; cassava, bitter and sweet; celeriac (celery root); chayote (root); chervil, turnip-rooted; chicory; chufa; dasheen (taro); ginger; ginseng; horseradish; leren; parsley, turnip-rooted; parsnip; potato; radish; radish, oriental (daikon); rutabaga; salsify (oyster plant); salsify, black; salsify, Spanish; skirret; sweet potato; tanier (cocoyam); turmeric; turnip; yam bean; yam, true"
1A. Root vegetables subgroup	"Beet, garden; beet, sugar; burdock, edible; carrot; celeriac; chervil, turnip-rooted; chicory; ginseng; horseradish; parsley, turnip-rooted; parsnip; radish; radish, oriental; rutabaga; salsify; salsify, black; salsify, Spanish; skirret; turnip"
1B. Root vegetables (except sugar beet) subgroup	"Beet, garden; burdock, edible; carrot; celeriac; chervil, turnip-rooted; chicory; ginseng; horseradish; parsley, turnip-rooted; parsnip; radish; radish, oriental; rutabaga; salsify; salsify, black; salsify, Spanish; skirret; turnip"
1C. Tuberous and corm vegetables subgroup	"Arracacha; arrowroot; artichoke, Chinese; artichoke, Jerusalem; canna, edible; cassava, bitter and sweet; chayote (root); chufa; dasheen; ginger; leren; potato; sweet potato; tanier; turmeric; yam bean; yam, true"
1D. Tuberous and corm vegetables (except potato) subgroup	"Arracacha; arrowroot; artichoke, Chinese; artichoke, Jerusalem; canna, edible; cassava, bitter and sweet; chayote (root); chufa; dasheen; ginger; leren; sweet potato; tanier; turmeric; yam bean; yam, true"
2. LEAVES OF ROOT AND TUBER VEGETABLES (HUMAN FOOD OR ANIMAL FEED) GROUP	"Beet, garden; beet, sugar; burdock, edible; carrot; cassava, bitter and sweet; celeriac (celery root); chervil, turnip-rooted; chicory; dasheen (taro); parsnip; radish; radish, oriental (daikon); rutabaga; salsify, black; sweet potato; tanier (cocoyam); turnip; yam, true"
3-07. BULB VEGETABLE GROUP	"Chive, fresh leaves; chive, Chinese, fresh leaves; daylily, bulb; elegans hosta; fritillaria, bulb; fritillaria, leaves; garlic, bulb; garlic, great-headed, bulb; garlic, serpent, bulb; kurrat; lady�s leek; leek; leek, wild; lily, bulb; onion, Beltsville bunching; onion, bulb; onion, Chinese, bulb; onion, fresh; onion, green; onion, macrostem; onion, pearl; onion, potato, bulb; onion, tree, tops; onion, Welsh, tops; shallot, bulb; shallot, fresh leaves; cultivars, varieties, and/or hybrids of these"
"3-07A. Onion, bulb, subgroup"	"Daylily, bulb; fritillaria, bulb; garlic, bulb; garlic, great-headed, bulb; garlic, serpent, bulb; lily, bulb; onion, bulb; onion, Chinese, bulb; onion, pearl; onion, potato, bulb; shallot, bulb; cultivars, varieties, and/or hybrids of these."
"3-07 B. Onion, green, subgroup"	"Chive, fresh leaves; chive, Chinese, fresh leaves; elegans hosta; fritillaria, leaves; kurrat; lady�s leek; leek; leek, wild; onion, Beltsville bunching; onion, fresh; onion, green; onion, macrostem; onion, tree, tops; onion, Welsh, tops; shallot, fresh leaves; cultivars, varieties, and/or hybrids of these."
3. BULB VEGETABLE GROUP	"Garlic, bulb, garlic, great-headed (elephant); leek; onion, dry bulb and green; onion, Welsh; shallot"
4-16. LEAFY VEGETABLE GROUP	"Amaranth, Chinese; amaranth, leafy; arugula; aster, Indian; blackjack; broccoli, Chinese; broccoli raab; cabbage, abyssinian; cabbage, Chinese, bok choy; cabbage, seakale; cat�s whiskers; cham-chwi; cham-na-mul; chervil, fresh leaves; chipilin; chrysanthemum, garland; cilantro, fresh leaves; collards; corn salad; cosmos; cress, garden; cress, upland; dandelion, leaves; dang-gwi, leaves; dillweed; dock; dol-nam-mul; ebolo; endive; escarole; fameflower; feather cockscomb; Good King Henry; hanover salad; huauzontle; jute, leaves; kale; lettuce, bitter; lettuce, head; lettuce, leaf; maca, leaves; mizuna; mustard greens; orach; parsley, fresh leaves; plantain, buckhorn; primrose, English; purslane, garden; purslane, winter; radicchio; radish, leaves; rape greens; rocket, wild; shepherd�s purse; spinach; spinach, Malabar; spinach, New Zealand; spinach, tanier; Swiss chard; turnip greens; violet, Chinese, leaves; watercress; cultivars, varieties, and hybrids of these commodities"
4-16A. Leafy greens subgroup	"Amaranth, Chinese; amaranth, leafy; aster, Indian; blackjack; cat�s whiskers; cham-chwi; cham-na-mul; chervil, fresh leaves; chipilin; chrysanthemum, garland; cilantro, fresh leaves; corn salad; cosmos; dandelion, leaves; dang-gwi, leaves; dillweed; dock; dol-nam-mul; ebolo; endive; escarole; fameflower; feather cockscomb; Good King Henry; huauzontle; jute, leaves; lettuce, bitter; lettuce, head; lettuce,"
4-16A. Leafy greens subgroup (cont)	"leaf; orach; parsley, fresh leaves; plantain, buckhorn; primrose, English; purslane, garden; purslane, winter; radicchio; spinach; spinach, Malabar; spinach, New Zealand; spinach, tanier; Swiss chard; violet, Chinese, leaves; cultivars, varieties, and hybrids of these commodities."
4-16B. Brassica leafy greens subgroup	"Arugula; broccoli, Chinese; broccoli raab; cabbage, abyssinian; cabbage, Chinese, bok choy; cabbage, seakale; collards; cress, garden; cress, upland; hanover salad; kale; maca, leaves; mizuna; mustard greens; radish, leaves; rape greens; rocket, wild; shepherd�s purse; turnip greens; watercress; cultivars, varieties, and hybrids of these commodities�."
4. LEAFY VEGETABLES (EXCEPT BRASSICA VEGETABLES) GROUP	"Amaranth; arugula; cardoon; celery; celery, Chinese; celtuce; chervil; chrysanthemum, edible-leaved; chrysanthemum, garland; corn salad; cress, garden; cress, upland; dandelion; dock (sorrel); endive (escarole); fennel, Florence; lettuce, head and leaf; orach; parsley; purslane, garden; purslane, winter; radicchio (red chicory); rhubarb; spinach; spinach, New Zealand; spinach, vine; Swiss chard"
4A. Leafy greens subgroup	"Amaranth; arugula; chervil; chrysanthemum, edible-leaved; chrysanthemum, garland; corn salad; cress, garden; cress, upland; dandelion; dock; endive; lettuce; orach; parsley; purslane, garden; purslane, winter; radicchio (red chicory); spinach; spinach, New Zealand; spinach, vine"
4B. Leaf petioles subgroup	"Cardoon; celery; celery, Chinese; celtuce; fennel, Florence; rhubarb; Swiss chard"
5-16. BRASSICA HEAD AND STEM VEGETABLE GROUP	"Broccoli; Brussels sprouts; cabbage; cabbage, Chinese, napa; cauliflower; cultivars, varieties, and hybrids of these commodities."
5. BRASSICA (COLE) LEAFY VEGETABLES	"Broccoli; broccoli, Chinese (gai lon); broccoli raab (rapini); Brussels sprouts; cabbage; cabbage, Chinese (bok choy); cabbage, Chinese (napa); cabbage, Chinese mustard (gai choy); cauliflower; cavalo broccolo; collards; kale; kohlrabi; mizuna; mustard greens; mustard spinach; rape greens"
5A. Head & Stem Brassica subgroup	"Broccoli; broccoli, Chinese; Brussels sprouts; cabbage; cabbage, Chinese (napa); cabbage, Chinese mustard; cauliflower; cavalo broccolo; kohlrabi"
5B. Leafy Brassica greens subgroup	"Broccoli raab; cabbage, Chinese (bok choy); collards; kale; mizuna; mustard greens; mustard spinach; rape greens"
6-22. LEGUME VEGETABLE GROUP	"African yam bean, dry seed; American potato bean, dry seed; Bean (Lupinus spp.), succulent shelled (including, but not limited to Andean lupin, blue lupin,"
6-22. LEGUME VEGETABLE GROUP (cont)	"grain lupin, sweet lupin, white lupin,white sweet lupin, and yellow lupin);Bean (Lupinus spp.), dry seed(including, but not limited to Andeanlupin, blue lupin, grain lupin, sweetlupin, white lupin, white sweet lupin,and yellow lupin); Bean (Phaseolusspp.), edible podded (including, but notlimited to French bean, garden bean,green bean, kidney bean, navy bean,scarlet runner bean, snap bean, andwax bean); Bean (Phaseolus spp.),succulent shelled (including, but notlimited to lima bean, scarlet runnerbean, and wax bean); Bean (Phaseolusspp.), dry seed (including, but notlimited to black bean, cranberry bean,dry bean, field bean, French bean,garden bean, great northern bean, greenbean, kidney bean, lima bean, navybean, pink bean, pinto bean, red bean,scarlet runner bean, tepary bean, andyellow bean); Bean (Vigna spp.), ediblepodded (including, but not limited toasparagus bean, catjang bean, Chineselongbean, cowpea, moth bean, mungbean, rice bean, urd bean, and yardlongbean); Bean (Vigna spp.), succulentshelled (including, but not limited toblackeyed pea, catjang bean, cowpea,crowder pea, moth bean, and southernpea); Bean (Vigna spp.), dry seed(including, but not limited to adzukibean, asparagus bean, blackeyed pea,catjang bean, Chinese longbean,cowpea, crowder pea, moth bean, mungbean, rice bean, southern pea, urd bean,and yardlong bean); Broad bean (favabean), succulent shelled; Broad bean(fava bean), dry seed; Chickpea(garbanzo), edible podded; Chickpea"
6-22. LEGUME VEGETABLE GROUP (cont)	"(garbanzo), succulent shelled; Chickpea (garbanzo), dry seed; Goa bean, edible podded (asparagus pea and winged bean); Goa bean, succulent shelled (asparagus pea and winged bean); Goa bean, dry seed (asparagus pea and winged bean); Grass pea, edible podded; Grass pea, dry seed; Guar bean, edible podded; Guar bean, dry seed; Horse gram, dry seed; Jackbean, edible podded; Jackbean, succulent shelled; Jackbean, dry seed; Lablab bean (hyacinth bean), edible podded; Lablab bean (hyacinth bean), succulent shelled; Lablab bean (hyacinth bean), dry seed; Lentil, edible podded; Lentil, succulent shelled; Lentil, dry seed; Morama bean, dry seed; Pea (Pisum spp.), edible podded (including, but not limited to dwarf pea, green pea, snap pea, snow pea, and sugar snap pea); Pea (Pisum spp.), succulent shelled (including, but not limited to English pea, garden pea, and green pea); Pea (Pisum spp.), dry seed (including, but not limited to dry pea, field pea, garden pea, yellow pea, wrinkled pea, marrowfat pea, and green pea); Pigeon pea, edible podded; Pigeon pea, succulent shelled; Pigeon pea, dry seed; Soybean, seed; Sword bean, edible podded; Sword bean, dry seed; Vegetable soybean, edible podded (edamame); Vegetable soybean, succulent shelled (edamame); Velvetbean, edible podded; Velvetbean, succulent shelled; Velvetbean, dry seed; Winged pea, edible podded; Winged pea, dry seed; cultivars, varieties, and/or hybrids of these commodities."
6-22A. Edible podded bean subgroup	"Bean (Phaseolus spp.; including, but not limited to French bean, garden bean, green bean, kidney bean, navy bean, scarlet runner bean, snap bean, and wax bean); Bean (Vigna spp.; including, but not limited to asparagus bean, catjang bean, Chinese longbean, cowpea, moth bean, mung bean, rice bean, urd bean, and yardlong bean); goa bean; guar bean; jackbean; lablab bean; vegetable soybean (edamame); sword bean; winged pea, velvetbean; cultivars, varieties, and hybrids of these commodities."
6-22B. Edible podded pea subgroup	"Pea (Pisum spp.; including, but not limited to dwarf pea, green pea, snap pea, snow pea, and sugar snap pea); grass pea; lentil; pigeon pea; chickpea; cultivars, varieties, and hybrids of these commodities."
6-22C. Succulent shelled bean subgroup	"Bean (Phaseolus spp.; including, but not limited to lima bean, scarlet runner bean, and wax bean); Bean (Vigna spp.; including, but not limited to blackeyed pea, catjang bean, cowpea, crowder pea, moth bean, and southern pea); Bean (Lupinus spp.; including, but not limited to Andean lupin, blue lupin, grain lupin, sweet lupin, white lupin, white sweet lupin, and yellow lupin); broad bean (fava bean); jackbean; goa bean; lablab bean; vegetable soybean (edamame); velvetbean; cultivars, varieties, and hybrids of these commodities."
6-22D. Succulent shelled pea subgroup	"Chickpea; lentil; Pea (Pisum spp.; including, but not limited to English pea, garden pea, and green pea); pigeon pea; cultivars, varieties, and hybrids of these commodities."
"6-22E. Pulses, dried shelled bean, except soybean, subgroup"	"African yam bean; American potato bean; Bean (Lupinus spp.; including, but not limited to Andean lupin, blue lupin, grain lupin, sweet lupin, white lupin, white sweet lupin, and yellow lupin); Bean (Phaseolus spp.; including, but not limited to black bean, cranberry bean, dry bean, field bean, French bean, garden bean, great northern bean, green bean, kidney bean, lima bean, navy bean, pink bean, pinto bean, red bean, scarlet runner bean, tepary bean, and yellow bean); Bean (Vigna spp.; including, but not limited to adzuki bean, asparagus bean, blackeyed pea, catjang bean, Chinese longbean, cowpea, crowder pea, moth bean, mung bean, rice bean, southern pea, urd bean, and yardlong bean); broad bean (fava bean); guar bean; goa bean; horse gram; jackbean; lablab bean; morama bean; sword bean; winged pea; velvetbean; cultivars, varieties, and hybrids of these commodities."
"6-22F. Pulses, dried shelled pea subgroup"	"Pea (Pisum spp.; including, but not limited to dry pea, field pea, green pea, yellow pea, wrinkled pea, marrowfat pea, and garden pea); chickpea; grass pea; lentil; pigeon pea; cultivars, varieties, and hybrids of these commodities."
6. LEGUME VEGETABLES (SUCCULENT OR DRIED)	"Bean (Lupinus spp.) (includes grain lupin, sweet lupin, white lupin, and white sweet lupin); bean (Phaseolus spp.) (includes field bean, kidney bean, lima bean, navy bean, pinto bean, runner bean, snap bean, tepary bean, wax bean); bean (Vigna spp.) (includes adzuki bean, asparagus bean, blackeyed pea, catjang, Chinese longbean, cowpea, Crowder pea, moth bean, mung bean, rice bean, southern pea, urd bean, yardlong bean); broad bean (fava bean); chickpea (garbanzo bean); guar; jackbean; lablab bean (hyacinth bean); lentil; pea (Pisum spp.) (includes dwarf pea, edible-pod pea, English pea, field pea, garden pea, green pea, snowpea, sugar snap pea); pigeon pea; soybean; soybean (immature seed); sword bean"
6A. Edible-podded legume vegetables subgroup	"Bean (Phaseolus spp.) (includes runner bean, snap bean, wax bean); bean (Vigna spp.) (includes asparagus bean, Chinese longbean, moth bean, yardlong bean); jackbean; pea (Pisum spp.) (includes dwarf pea, edible-pod pea, snow pea, sugar snap pea); pigeon pea; soybean (immature seed); sword bean"
6B. Succulent shelled	Bean (Phaseolus spp.) (includes lima bean (green)); broad bean (succulent);pea and bean subgroup	"bean (Vigna spp.) (includes blackeyed pea, cowpea, southern pea); pea (Pisum spp.) (includes English pea, garden pea, green pea); pigeon pea"
6C. Dried shelled pea and bean (except soybean) subgroup	"Dried cultivars of bean (Lupinus spp.) (includes grain lupin, sweet lupin, white lupin, and white sweet lupin); (Phaseolus spp.) (includes field bean, kidney bean, lima bean (dry), navy bean, pinto bean, tepary bean); bean (Vigna spp.) (includes adzuki bean, blackeyed pea, catjang, cowpea, Crowder pea, moth bean, mung bean, rice bean, southern pea, urd bean); broad bean (dry); chickpea; guar; lablab bean; lentil; pea (Pisum spp.) (includes field pea); pigeon pea"
7-22. FORAGE AND HAY OF LEGUME VEGETABLE GROUP	Plant parts of any legume vegetable listed in Crop Group 6-22 that will be used as animal feed.
7-22A. Forage and hay of legume vegetables (except soybeans) subgroup	Plant parts of any legume vegetable listed in Crop Group 6-22 (except soybeans) that will be used as animal feed.
7. FOLIAGE OF LEGUME VEGETABLES	Plant parts of any legume vegetable included in the legume vegetables group that will be used as animal feed
7A. Foliage of legume vegetables (except soybeans) subgroup	Plant parts of any legume vegetable (except soybeans) included in the legume vegetables group that will be used as animal feed.
8-10. FRUITING VEGETABLE GROUP	"African eggplant; bush tomato; bell pepper; cocona; currant tomato; eggplant; garden huckleberry; goji berry; groundcherry; Martynia; naranjilla; okra; pea eggplant; pepino; non-bell pepper; roselle; scarlet eggplant; sunberry; tomatillo; tomato; tree tomato; cultivars, varieties, and/or hybrids of these"
8-10A. Tomato subgroup	"Bush tomato; cocona; currant tomato; garden huckleberry; goji berry; groundcherry; naranjilla; sunberry; tomatillo; tomato; tree tomato; cultivars, varieties, and/or hybrids of these."
8-10B. Pepper/Eggplant subgroup	"African eggplant; bell pepper; eggplant; Martynia; nonbell pepper; okra; pea eggplant; pepino; roselle; scarlet eggplant; cultivars, varieties, and/or hybrids of these."
8-10C. Non-bell pepper/Eggplant subgroup	"African eggplant; eggplant; Martynia; nonbell pepper; okra; pea eggplant; pepino; roselle; scarlet eggplant ; cultivars, varieties, and/or hybrids of these."
8. FRUITING VEGETABLES (EXCEPT CUCURBITS)	"Eggplant; groundcherry (Physalis spp); pepino; pepper (includes bell pepper, chili pepper, cooking pepper, pimento, sweet pepper); tomatillo; tomato"
9. CUCURBIT VEGETABLES	"Chayote (fruit); Chinese waxgourd (Chinese preserving melon); citron melon; cucumber; gherkin; gourd, edible (includes hyotan, cucuzza, hechima, Chinese okra); Momordica spp (includes balsam apple, balsam pear, bittermelon, Chinese cucumber); muskmelon (includes true cantaloupe, cantaloupe, casaba, crenshaw melon, golden pershaw melon, honeydew melon, honey balls, mango melon, Persian melon, pineapple melon, Santa Claus melon and snake melon); pumpkin; squash, summer (includes crookneck squash, scallop squash, straightneck squash, vegetable marrow, zucchini); squash, winter (includes butternut squash, calabaza, hubbard squash, acorn squash, spaghetti squash); watermelon"
9A. Melon subgroup	Citron melon; muskmelon (includes cantaloupe); watermelon
9B. Squash/Cucumber subgroup	"Chayote (fruit); Chinese waxgourd; cucumber; gherkin; gourd, edible; Momordica spp; pumpkin; squash, summer; squash, winter."
10-10. CITRUS FRUIT GROUP	"Australian desert lime; Australian finger-lime; Australian round lime; Brown River finger lime; calamondin; citron; citrus hybrids; grapefruit; Japanese summer grapefruit; kumquat; lemon; lime; Mediterranean mandarin; mount white lime; New Guinea wild lime; orange, sour; orange, sweet; pummelo; Russell River lime; satsuma mandarin; sweet lime; tachibana orange; Tahiti lime; tangelo; tangerine (mandarin); tangor; trifoliate orange; uniq fruit; cultivars, varieties, and/or hybrids of these"
10-10A. Orange subgroup	"Calamondin; citron; citrus hybrids; Mediterranean mandarin; orange, sour; orange, sweet; satsuma mandarin; tachibana orange; tangerine (mandarin); tangelo; tangor; trifoliate orange; cultivars, varieties, and/or hybrids of these."
10-10B. Lemon/Lime subgroup	"Australian desert lime; Australian finger lime; Australian round lime; brown river finger lime; kumquat; lemon; lime; mount white lime; New Guinea wild lime; Russell River lime; sweet lime; Tahiti lime; cultivars, varieties, and/or hybrids of these."
10-10C. Grapefruit subgroup	"Grapefruit; Japanese summer grapefruit; pummelo; tangelo; uniq fruit; cultivars, varieties, and/or hybrids of these."
10. CITRUS FRUITS	"Calamondin; citrus citron; citrus hybrids (includes chironja, tangelo, tangor); grapefruit; kumquat; lemon; lime; mandarin (tangerine); orange, sour; orange, sweet; pummelo; Satsuma mandarin"
11-10. POME FRUIT GROUP	"Apple; azarole; crabapple; loquat; mayhaw; medlar; pear; pear, Asian; quince; quince, Chinese; quince, Japanese; tejocote; cultivars, varieties, and/or hybrids of these."
11. POME FRUITS	"Apple; crabapple; loquat; mayhaw; pear; pear, oriental; quince"
12-12. STONE FRUIT GROUP	"Apricot; apricot, Japanese; capulin; cherry, black; cherry, Nanking; cherry, sweet; cherry, tart; Jujube, Chinese; nectarine; peach; plum; plum, American; plum, beach; plum, Canada; plum, cherry; plum, Chickasaw; plum, Damson; plum, Japanese; plum, Klamath; plum, prune; plumcot; sloe; cultivars, varieties, and/or hybrids of these"
12-12A. Cherry subgroup	"Capulin; cherry, black; cherry, Nanking; cherry, sweet; cherry, tart; cultivars, varieties, and/or hybrids of these."
12-12B. Peach subgroup	"Nectarine; peach; cultivars, varieties, and/or hybrids of these."
12-12C. Plum subgroup	"Apricot; apricot, Japanese; Jujube, Chinese; plum; plum, American; plum, beach; plum, Canada; plum, cherry; plum, Chickasaw; plum, Damson; plum, Japanese; plum, Klamath; plum, prune; plumcot; sloe; cultivars, varieties, and/or hybrids of these."
12. STONE FRUITS	"Apricot; cherry, sweet; cherry, tart; nectarine; peach; plum; plum, Chickasaw; plum, Damson; plum, Japanese; plumcot; prune (fresh)"
13-07. BERRY AND SMALL FRUIT	"Amur river grape; aronia berry; bayberry; bearberry; bilberry; blackberry (including Andean blackberry, arctic blackberry, bingleberry, black satin berry, boysenberry, brombeere, California blackberry, Chesterberry, Cherokee blackberry, Cheyenne blackberry, common blackberry, coryberry, darrowberry, dewberry, Dirksen"
